TODO: this must be completed and converted to sql insert commands

SCHOOL,CONC,NAME,LEVEL,CASTING,COMPONENTS,RITUAL,	RANGE,DURATION,MATERIALS,DESCR,HIGHERLEVELS
Evocation,,Crown of Stars,7th,1 action,VS,,,,,,
Evocation,Yes,Delayed Blast Fireball,7th,1 action,VSM,,,,,,
Evocation,,Divine Word,7th,1 bonus action,V,,,,,,
Conjuration,,Dream of the Blue Veil,7th,10 minutes,VSM,,,,,,
Transmutation,,Etherealness,7th,1 action,VS,,,,,,
Necromancy,,Finger of Death,7th,1 action,VS,,,,,,
Evocation,,Fire Storm,7th,1 action,VS,,,,,,
Evocation,,Forcecage,7th,1 action,VSM,,,,,,
Illusion,,Mirage Arcane,7th,10 minutes,VS,,,,,,
Conjuration,,Mordenkainen's Magnificent Mansion,7th,1 minute,VSM,,,,,,
Evocation,Yes,Mordenkainen's Sword,7th,1 action,VSM,,,,,,
Conjuration,,Plane Shift,7th,1 action,VSM,,,,,,
Enchantment,,Power Word Pain,7th,1 action,V,,,,,,
Evocation,,Prismatic Spray,7th,1 action,VS,,,,,,
Illusion,Yes,Project Image,7th,1 action,VSM,,,,,,
Transmutation,,Regenerate,7th,1 minute,VSM,,,,,,
Necromancy,,Resurrection,7th,1 hour,VSM,,,,,,
Transmutation,Yes,Reverse Gravity,7th,1 action,VSM,,,,,,
Transmutation,,Sequester,7th,1 action,VSM,,,,,,
Illusion,,Simulacrum,7th,12 hours,VSM,,,,,,
Abjuration,,Symbol,7th,1 minute,VSM,,,,,,
Conjuration,,Teleport,7th,1 action,V,,,,,,
Conjuration,,Temple of the Gods,7th,1 hour,VSM,,,,,,
Evocation,Yes,Whirlwind,7th,1 action,VM,,,,,,
Necromancy,,Abi-Dalzim's Horrid Wilting,8th,1 action,VSM,,,,,,
Transmutation,Yes,Animal Shapes,8th,1 action,VS,,,,,,
Abjuration,Yes,Antimagic Field,8th,1 action,VSM,,,,,,
Enchantment,,Antipathy/Sympathy,8th,1 hour,VSM,,,,,,
Necromancy,,Clone,8th,1 hour,VSM,,,,,,
Transmutation,Yes,Control Weather,8th,10 minutes,VSM,,,,,,
Conjuration,,Demiplane,8th,1 action,S,,,,,,
Enchantment,Yes,Dominate Monster,8th,1 action,VS,,,,,,
Evocation,Yes,Earthquake,8th,1 action,VSM,,,,,,
Enchantment,,Feeblemind,8th,1 action,VSM,,,,,,
Transmutation,,Glibness,8th,1 action,V,,,,,,
Abjuration,Yes,Holy Aura,8th,1 action,VSM,,,,,,
Illusion,Yes,Illusory Dragon,8th,1 action,S,,,,,,
Conjuration,Yes,Incendiary Cloud,8th,1 action,VS,,,,,,
Evocation,Yes,Maddening Darkness,8th,1 action,VM,,,,,,
Conjuration,Yes,Maze,8th,1 action,VS,,,,,,
Conjuration,,Mighty Fortress,8th,1 minute,VSM,,,,,,
Abjuration,,Mind Blank,8th,1 action,VS,,,,,,
Enchantment,,Power Word Stun,8th,1 action,V,,,,,,
Evocation,,Sunburst,8th,1 action,VSM,,,,,,
Evocation,,Telepathy,8th,1 action,VSM,,,,,,
Conjuration,Yes,Tsunami,8th,1 minute,VS,,,,,,
Necromancy,,Astral Projection,9th,1 hour,VSM,,,,,,
Conjuration,Yes,Blade of Disaster,9th,1 bonus action,VS,,,,,,
Divination,,Foresight,9th,1 minute,VSM,,,,,,
Conjuration,Yes,Gate,9th,1 action,VSM,,,,,,
Abjuration,,Imprisonment,9th,1 minute,VSM,,,,,,
Abjuration,Yes,Invulnerability,9th,1 action,VSM,,,,,,
Evocation,,Mass Heal,9th,1 action,VS,,,,,,
Transmutation,Yes,Mass Polymorph,9th,1 action,VSM,,,,,,
Evocation,,Meteor Swarm,9th,1 action,VS,,,,,,
Evocation,,Power Word Heal,9th,1 action,VS,,,,,,
Enchantment,,Power Word Kill,9th,1 action,V,,,,,,
Abjuration,,Prismatic Wall,9th,1 action,VS,,,,,,
Enchantment,,Psychic Scream,9th,1 action,S,,,,,,
Transmutation,Yes,Shapechange,9th,1 action,VSM,,,,,,
Conjuration,Yes,Storm of Vengeance,9th,1 action,VS,,,,,,
Transmutation,,Time Stop,9th,1 action,V,,,,,,
Transmutation,Yes,True Polymorph,9th,1 action,VSM,,,,,,
Necromancy,,True Resurrection,9th,1 hour,VSM,,,,,,
Illusion,Yes,Weird,9th,1 action,VS,,,,,,
Conjuration,,Wish,9th,1 action,V,,,,,,
